Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
1,1966,14,Chhattisgarh,Durg,rice,548000,337.59,8.43975,4.05108,7.42698,4624983,2219991.84,4069985.04,25,80,6.5,1200,2,18
1,1966,14,Chhattisgarh,Durg,maize,3000,666.67,18.00009,8.00004,11.33339,54000.27,24000.12,34000.17,22,70,6,800,2.5,20
1,1966,14,Chhattisgarh,Durg,chickpea,54000,500,9,5,9,486000,270000,486000,20,60,6.5,600,1.5,16
1,1967,14,Chhattisgarh,Durg,rice,547000,747.71,18.69275,8.97252,16.44962,10224934.25,4907968.44,8997942.14,25,80,6.5,1200,2,18
1,1967,14,Chhattisgarh,Durg,maize,3000,1000,27,12,17,81000,36000,51000,22,70,6,800,2.5,20
1,1967,14,Chhattisgarh,Durg,chickpea,52000,288.46,5.19228,2.8846,5.19228,269998.56,149999.2,269998.56,20,60,6.5,600,1.5,16
1,1968,14,Chhattisgarh,Durg,rice,556300,841.27,21.03175,10.09524,18.50794,11699962.52,5615982.012,10295967.02,25,80,6.5,1200,2,18
1,1968,14,Chhattisgarh,Durg,maize,2800,714.29,19.28583,8.57148,12.14293,54000.324,24000.144,34000.204,22,70,6,800,2.5,20
1,1968,14,Chhattisgarh,Durg,chickpea,51300,448.34,8.07012,4.4834,8.07012,413997.156,229998.42,413997.156,20,60,6.5,600,1.5,16
1,1969,14,Chhattisgarh,Durg,rice,563400,711.4,17.785,8.5368,15.6508,10020069,4809633.12,8817660.72,25,80,6.5,1200,2,18
1,1969,14,Chhattisgarh,Durg,maize,2700,851.85,22.99995,10.2222,14.48145,62099.865,27599.94,39099.915,22,70,6,800,2.5,20
1,1969,14,Chhattisgarh,Durg,chickpea,52600,439.16,7.90488,4.3916,7.90488,415796.688,230998.16,415796.688,20,60,6.5,600,1.5,16
1,1970,14,Chhattisgarh,Durg,rice,571600,828.55,20.71375,9.9426,18.2281,11839979.5,5683190.16,10419181.96,25,80,6.5,1200,2,18
1,1970,14,Chhattisgarh,Durg,maize,2500,1320,35.64,15.84,22.44,89100,39600,56100,22,70,6,800,2.5,20
1,1970,14,Chhattisgarh,Durg,chickpea,53300,611.63,11.00934,6.1163,11.00934,586797.822,325998.79,586797.822,20,60,6.5,600,1.5,16
1,1971,14,Chhattisgarh,Durg,rice,581800,709.69,17.74225,8.51628,15.61318,10322441.05,4954771.704,9083748.124,25,80,6.5,1200,2,18
1,1971,14,Chhattisgarh,Durg,maize,2700,1148.15,31.00005,13.7778,19.51855,83700.135,37200.06,52700.085,22,70,6,800,2.5,20
1,1971,14,Chhattisgarh,Durg,chickpea,50300,652.09,11.73762,6.5209,11.73762,590402.286,328001.27,590402.286,20,60,6.5,600,1.5,16
1,1972,14,Chhattisgarh,Durg,rice,582200,654.41,16.36025,7.85292,14.39702,9524937.55,4571970.024,8381945.044,25,80,6.5,1200,2,18
1,1972,14,Chhattisgarh,Durg,maize,2800,1142.86,30.85722,13.71432,19.42862,86400.216,38400.096,54400.136,22,70,6,800,2.5,20
1,1972,14,Chhattisgarh,Durg,chickpea,52300,623.33,11.21994,6.2333,11.21994,586802.862,326001.59,586802.862,20,60,6.5,600,1.5,16
1,1973,14,Chhattisgarh,Durg,rice,600000,786.5,19.6625,9.438,17.303,11797500,5662800,10381800,25,80,6.5,1200,2,18
1,1973,14,Chhattisgarh,Durg,maize,2900,931.03,25.13781,11.17236,15.82751,72899.649,32399.844,45899.779,22,70,6,800,2.5,20
1,1973,14,Chhattisgarh,Durg,chickpea,56400,574.47,10.34046,5.7447,10.34046,583201.944,324001.08,583201.944,20,60,6.5,600,1.5,16
1,1974,14,Chhattisgarh,Durg,rice,587400,372.83,9.32075,4.47396,8.20226,5475008.55,2628004.104,4818007.524,25,80,6.5,1200,2,18
1,1974,14,Chhattisgarh,Durg,maize,2900,1000,27,12,17,78300,34800,49300,22,70,6,800,2.5,20
1,1974,14,Chhattisgarh,Durg,chickpea,54900,746.81,13.44258,7.4681,13.44258,737997.642,409998.69,737997.642,20,60,6.5,600,1.5,16
1,1975,14,Chhattisgarh,Durg,rice,598300,758.82,18.9705,9.10584,16.69404,11350050.15,5448024.072,9988044.132,25,80,6.5,1200,2,18
1,1975,14,Chhattisgarh,Durg,maize,2900,1000,27,12,17,78300,34800,49300,22,70,6,800,2.5,20
1,1975,14,Chhattisgarh,Durg,chickpea,58300,518.01,9.32418,5.1801,9.32418,543599.694,301999.83,543599.694,20,60,6.5,600,1.5,16
1,1976,14,Chhattisgarh,Durg,rice,593600,551.04,13.776,6.61248,12.12288,8177433.6,3925168.128,7196141.568,25,80,6.5,1200,2,18
