crop_type,area_hectares,days_since_sowing,ndvi_trend,avg_temp,cum_rainfall,yield_kg
PULSES,1.56,45,0.678,17.0,605.5,1396.27
SUGARCANE,4.51,25,0.697,27.0,470.9,354771.71
PULSES,5.68,38,0.706,32.4,619.1,4617.05
COTTON,3.73,49,0.803,17.0,334.9,5460.94
MAIZE,6.24,15,0.529,34.5,333.9,25591.69
PULSES,6.38,56,0.791,15.9,220.9,5564.86
RICE,8.63,120,0.706,27.7,323.6,37479.05
WHEAT,6.87,28,0.441,29.6,172.6,17375.2
PULSES,7.04,38,0.602,30.5,221.8,4831.63
MAIZE,4.31,18,0.839,32.5,286.0,24554.94
COTTON,8.9,127,0.678,29.9,454.2,15047.74
COTTON,9.03,112,0.849,17.8,420.1,13752.54
RICE,1.95,30,0.501,16.3,336.2,5894.62
SUGARCANE,2.89,293,0.403,29.4,561.3,162438.33
MAIZE,7.8,53,0.737,24.1,765.4,53414.89
MAIZE,9.73,107,0.833,32.4,273.8,55343.76
SUGARCANE,2.39,201,0.529,30.6,447.8,127155.65
MAIZE,5.14,24,0.355,31.6,280.6,11790.66
SUGARCANE,9.5,53,0.596,34.6,449.5,435276.89
PULSES,5.02,80,0.756,27.1,773.3,5182.96
PULSES,7.05,49,0.784,22.5,724.7,6945.64
WHEAT,2.63,96,0.761,26.8,55.4,6615.01
RICE,2.67,14,0.417,19.8,551.7,8299.84
WHEAT,7.37,131,0.745,23.1,120.7,18448.39
MAIZE,4.52,69,0.413,28.1,534.6,20742.71
PULSES,3.72,23,0.688,24.0,366.4,3601.24
WHEAT,8.81,29,0.822,26.0,87.9,22791.67
RICE,9.71,106,0.44,24.7,210.3,30764.51
RICE,2.06,10,0.177,30.7,391.3,3270.62
PULSES,9.96,81,0.517,18.8,213.3,6854.58
PULSES,5.65,50,0.767,25.1,689.5,5401.88
SUGARCANE,1.26,105,0.664,32.2,352.8,86108.71
SUGARCANE,2.84,314,0.666,28.1,473.9,214664.38
MAIZE,2.44,101,0.703,17.6,534.1,14431.6
RICE,0.59,89,0.389,16.5,209.9,829.65
MAIZE,8.87,41,0.682,31.7,577.7,59195.78
